p_used,rbo_globals_0,rbo_locals_0,rbo_globals_1,rbo_locals_1,rbo_ids
0.95,0.8853378976226942,0.4757430000037127,0.8860941730439474,0.7721581323111846,0.2198700876464749
0.95,0.8958316202579409,0.5914108887765906,0.8934801563718316,0.799296059868069,0.5136662406900292
0.95,0.9153679925366336,0.7919516494962561,0.8996845215558147,0.8340488706604791,0.4471462171008058
0.95,0.8747021212953902,0.35038512527756593,0.8768565573850744,0.7461545849144896,0.3267189564873075
0.95,0.8739714874034719,0.382516816963917,0.8776946110439466,0.7483658334596273,0.43441218705678436
0.95,0.9034200912682796,0.6991947056924237,0.8944511376416384,0.803933096993542,0.23990257411779517
0.95,0.8542087765327379,0.32406398067145337,0.8638163982161076,0.7215156294138171,0.20496131143465027
0.95,0.8464085594027041,0.36165882486759937,0.8639852756950859,0.7148619222910952,0.33424872045428805
0.95,0.8715467893424396,0.5155724645241767,0.867678540207821,0.7343545897098117,0.4617887015378381
0.95,0.8780852453285483,0.5807637887480352,0.8808324203589595,0.7767578824991215,0.6649518748464514
0.95,0.9003102252967629,0.7329569979575994,0.872358808279977,0.7553893110787283,0.24818827763786092
0.95,0.882897703507511,0.5044531964064508,0.8900130959043945,0.7902025923781738,0.6487796446555578
0.95,0.8839957478778108,0.4592202642551401,0.8864043863074863,0.777090287367699,0.2706093673338015
0.95,0.8548148757011491,0.4998415539369068,0.8679622292192357,0.7461377146371865,0.24680008953889185
0.95,0.9170300748664743,0.6980416792800967,0.9388662702870642,0.8996009391513256,0.28012902202982576
0.95,0.8815623061154207,0.2647018382635938,0.8814420466339884,0.7577956682434963,0.4764602598156669
0.95,0.8658993399324607,0.4188623232581823,0.8648817647765855,0.7211651472422783,0.6502444295071967
0.95,0.8731490225382721,0.43606715973988236,0.8781868899615523,0.7555467053665784,0.41311484642448393
0.95,0.8811237323374802,0.5186280127045544,0.8845386138788404,0.7806303625187931,0.46824101780943367
0.95,0.8722910904792006,0.5465814617359916,0.8739545924434438,0.7564816338637302,0.7021738667797428
0.95,0.8700195194900847,0.3696723558366169,0.8731815497475943,0.7383533905013487,0.22771343561150814
0.95,0.8841703545206296,0.4689645288672942,0.8798984127530753,0.7550271375897817,0.6755848358907806
0.95,0.8898974650812903,0.5464605197812478,0.895232129253898,0.8064891071000552,0.23238238274579692
0.95,0.8733106304193379,0.39162099579576226,0.8843277442638992,0.7518710076379372,0.4618843097624752
0.95,0.8842205791356945,0.4180568840080795,0.8850505968158047,0.7716041669921807,0.24195014932215742
0.95,0.8671667603861812,0.46193538207464985,0.8788945797996239,0.763145567684037,0.2743367636086096
0.95,0.8695299995801963,0.5036684105321093,0.8709930149648955,0.7241257256753071,0.5766647438603205
0.95,0.881550087506604,0.27243661741038316,0.8820847058075062,0.7602279785372599,0.27325956226226766
0.95,0.8607710635044623,0.431336708093826,0.8673947838201627,0.7317947886629929,0.2620612120834123
0.95,0.8650570628015535,0.6024464652838202,0.8527280606382078,0.7225256658065441,0.5578779219694149
0.95,0.868176935064955,0.22562414974828893,0.8747553642145262,0.7386226433120721,0.3198502973816339
0.95,0.8784848539494104,0.5462660250918701,0.8794338774051088,0.7608487077765154,0.4546730102421349
0.95,0.8819381526009823,0.26891028351106816,0.8815467491673605,0.7582412301460715,0.5113899273045178
0.95,0.8948118930747954,0.6866230150696764,0.890201793615363,0.8087620813387671,0.5128743484618564
0.95,0.8335638179234193,0.6326426979563038,0.8374290219481848,0.7319501035596409,0.3623591582355629
0.95,0.8818459678692442,0.34796367093482333,0.8787964595690935,0.7472259175997985,0.26271998263846086
0.95,0.8785859701762508,0.46400622413221976,0.880757921341416,0.7614874432204559,0.2948261862336633
0.95,0.8658174010904398,0.3673645301834448,0.8691100937142322,0.7297636318162436,0.2878818128086489
0.95,0.8828352461000046,0.3701157209373049,0.8841947992533663,0.7684543533323578,0.4847502411624922
0.95,0.9045329505877474,0.7463450316798671,0.9077190791180293,0.8233304165425718,0.6230662040145943
0.95,0.8847037393415735,0.3975484041668848,0.8832719111615673,0.7649385813419932,0.24367006745311284
0.95,0.8926231202031344,0.6147548902025239,0.8966579857478061,0.8114593276410438,0.24403568277056106
0.95,0.8765766400955938,0.4136428874861831,0.8854113936451891,0.7567649761211805,0.37868109119728044
0.95,0.878574827131097,0.6168035011168769,0.8797791637077564,0.801291244730442,0.5914549274100601
0.95,0.9075798529488829,0.7053330998780222,0.9081166006587948,0.8404190651183601,0.5093012245963435
0.95,0.8806554608734629,0.5239174987553924,0.8868229956689405,0.7727200059360321,0.625622758966043
0.95,0.8795496184125936,0.4134126008702854,0.8844017647251025,0.7590229452028265,0.4857987980381168
0.95,0.8735261066919184,0.3175707360776859,0.8767421409246013,0.7452182585707353,0.6193153183331095
0.95,0.8497786276171558,0.35328956434897324,0.8601386463043774,0.7148489373621938,0.47022316776363593
0.95,0.8982352463141208,0.6891338668320454,0.9075593013214378,0.8505515053764054,0.44302667299156523
0.95,0.8910083095854284,0.6582816605555886,0.8668353473070928,0.7450281449592678,0.4207362913344066
0.95,0.8807738977979613,0.24871605200130412,0.8812644115997591,0.7572730496077266,0.2058869786179964
0.95,0.9122626826208297,0.7631726855681,0.8986947367765168,0.8200095019112233,0.42655596566120735
0.95,0.8947440329568047,0.6229085588242346,0.8978726316845224,0.8103731669632253,0.4150307728749811
0.95,0.8917436464590998,0.5945868613824937,0.8811573445782983,0.7634502739880427,0.5430057454736134
0.95,0.8804071608358627,0.3393865713812168,0.8842356268971158,0.7679453200215136,0.49861658454371655
0.95,0.923854231978754,0.7782225455261512,0.9117324422980505,0.8470326678298102,0.38878392245479426
0.95,0.8851686016162892,0.3840081750432192,0.8791423416023273,0.7498974727120797,0.5054186781830947
0.95,0.8779487484804815,0.406657213549167,0.8901996430123257,0.7832695023741372,0.6042459459195235
0.95,0.872203066279087,0.602266265006806,0.8936455909597237,0.8048974070571655,0.2979901950844202
0.95,0.9043062859963444,0.622414312749228,0.859827769893052,0.6846386771514832,0.45178393058244387
0.95,0.8874139680013924,0.6992888334116387,0.8766199335190238,0.7770317203911853,0.4549642763720928
0.95,0.8026565975368584,0.4736952277108835,0.8280166032840669,0.7280402299694583,0.36958777396981185
0.95,0.8858982250301912,0.5706917061142119,0.9200366413759188,0.8628005143974877,0.3065523525542244
0.95,0.8798894358266831,0.3843515727319142,0.8816967364116018,0.7606306858069206,0.48615628531160054
0.95,0.8514718826953935,0.40201163986906835,0.8680567973487305,0.7352765329619484,0.6267176740834165
0.95,0.8785413929409053,0.5135735247347728,0.8772357983888196,0.7521158138576349,0.5626944389945884
0.95,0.8820950422622715,0.42018615891646033,0.8798325035077849,0.7551074676615254,0.31721501891482234
0.95,0.8720814025348329,0.3057533646520449,0.8768292454539549,0.746031503583246,0.14611735885315816
0.95,0.8900461871456876,0.585561798539521,0.8960933411466344,0.8101442100748089,0.39015088811150245
0.95,0.8612571625688619,0.26651108657878636,0.8678497883726879,0.7210811646377779,0.21108559463718937
0.95,0.9095057813292428,0.7341168115843345,0.9282630558050675,0.8811386697163254,0.3357344011492921
0.95,0.8716841038644166,0.6023464652838308,0.8822482177251441,0.7834833958301389,0.4961138389203603
0.95,0.8748617276602716,0.24519879846649945,0.8755100931984158,0.73869919841707,0.2512700618275393
0.95,0.8755768281415016,0.4572558996978848,0.8765916001948714,0.7509680785690506,0.6173457126055056
0.95,0.8767717685055381,0.39064918776511737,0.8900817842013629,0.7805146365981237,0.4134123555414837
0.95,0.9029325489407988,0.6279936654255633,0.8958136628333582,0.8057064375511734,0.1518286553079074
0.95,0.889499503879389,0.5274294682109375,0.8874683567434573,0.7795561753248292,0.2583136307199111
0.95,0.7861712206530072,0.530825910092291,0.8131940039546162,0.7019462776836303,0.394729934520245
0.95,0.8987506779719984,0.6674928036410194,0.9008947662481364,0.8209876786587482,0.2723869346586507
0.95,0.899244453607527,0.6201585377408323,0.8963584105886765,0.8082335175224126,0.32386437567697585
